what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggleBreadcrumb",1578581600795
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggleBreadcrumb",1578581600986
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1578581604593
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1578581612500
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1578581612713
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1578581621943
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1578581627732
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1578581631396
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1578581634338
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1578581634392
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1578581639422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581655282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581658896
started,bundle,oracle.eclipse.tools.common.doc,3.2.3.201107052022,"oracle.eclipse.tools.common.doc",1578581665911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581685984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581686093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581713621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581713647
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581713756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581727122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1578581727131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581731728
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581744558
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1578581744578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581746680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1578581816513
