what,kind,bundleId,bundleVersion,description,time
started,bundle,oracle.eclipse.tools.weblogic,3.2.3.201107052022,"oracle.eclipse.tools.weblogic",1591390497235
started,bundle,oracle.eclipse.tools.weblogic.ui,3.2.3.201107052022,"oracle.eclipse.tools.weblogic.ui",1591390497235
started,bundle,oracle.eclipse.tools.webservices.ui,3.2.3.201107052022,"oracle.eclipse.tools.webservices.ui",1591390497235
started,bundle,oracle.eclipse.tools.xmlbeans,3.2.3.201107052022,"oracle.eclipse.tools.xmlbeans",1591390497235
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824-p001,"org.eclipse.core.jobs",1591390497236
started,bundle,org.eclipse.sapphire.modeling,0.2.3.201106221307,"org.eclipse.sapphire.modeling",1591390497237
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908_p001,"org.eclipse.wst.server.core",1591390497238
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1591390497239
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1591390497240
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1591390497241
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1591390497242
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1591390497242
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1591390497244
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1591390497245
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1591390497249
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1591390497250
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1591390497252
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110819-1700,"org.eclipse.team.svn.core",1591390497253
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1591390497253
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110819-1700,"org.eclipse.team.svn.ui",1591390497254
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1591390497255
started,bundle,org.tigris.subversion.subclipse.core,1.0.7,"org.tigris.subversion.subclipse.core",1591390497322
started,bundle,org.tigris.subversion.subclipse.ui,1.0.5,"org.tigris.subversion.subclipse.ui",1591390497438
started,bundle,org.polarion.eclipse.team.svn.connector.javahl15,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.javahl15",1591390497439
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1591390497439
started,bundle,com.jformdesigner,5.0.1,"com.jformdesigner",1591390497441
os,sysinfo,,,"win32",1591390497461
arch,sysinfo,,,"x86",1591390497461
ws,sysinfo,,,"win32",1591390497461
locale,sysinfo,,,"en_US",1591390497461
processors,sysinfo,,,"4",1591390497461
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1591390497461
java.runtime.version,sysinfo,,,"1.8.0_51-b16",1591390497461
java.specification.name,sysinfo,,,"Java Platform API Specification",1591390497461
java.specification.vendor,sysinfo,,,"Oracle Corporation",1591390497461
java.specification.version,sysinfo,,,"1.8",1591390497461
java.vendor,sysinfo,,,"Oracle Corporation",1591390497461
java.version,sysinfo,,,"1.8.0_51",1591390497461
java.vm.info,sysinfo,,,"mixed mode",1591390497461
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1591390497461
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1591390497461
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1591390497461
java.vm.specification.version,sysinfo,,,"1.8",1591390497461
java.vm.vendor,sysinfo,,,"Oracle Corporation",1591390497461
java.vm.version,sysinfo,,,"25.51-b03",1591390497461
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1591390497526
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1591390497531
